coverage_id,project,month,source_ids,notes,kind,index_state,threads_state,board_state
foundation-2023-01,foundation,2023-01,board-2023-01-18,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-02,foundation,2023-02,board-2023-02-15,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-03,foundation,2023-03,board-2023-03-22,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-04,foundation,2023-04,board-2023-04-19,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-05,foundation,2023-05,board-2023-05-17,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-06,foundation,2023-06,board-2023-06-21,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-07,foundation,2023-07,board-2023-07-19,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-08,foundation,2023-08,board-2023-08-16,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-09,foundation,2023-09,board-2023-09-20,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-10,foundation,2023-10,board-2023-10-18,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-11,foundation,2023-11,board-2023-11-15,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2023-12,foundation,2023-12,board-2023-12-20,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-01,foundation,2024-01,board-2024-01-17,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-02,foundation,2024-02,board-2024-02-21,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-03,foundation,2024-03,board-2024-03-20,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-04,foundation,2024-04,board-2024-04-17,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-05,foundation,2024-05,board-2024-05-15,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-06,foundation,2024-06,board-2024-06-19,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-07,foundation,2024-07,board-2024-07-17,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-08,foundation,2024-08,board-2024-08-21,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-09,foundation,2024-09,board-2024-09-18,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-10,foundation,2024-10,board-2024-10-16,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-11,foundation,2024-11,board-2024-11-20,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2024-12,foundation,2024-12,board-2024-12-18,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-01,foundation,2025-01,board-2025-01-15,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-02,foundation,2025-02,board-2025-02-19,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-03,foundation,2025-03,board-2025-03-19,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-04,foundation,2025-04,board-2025-04-16,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-05,foundation,2025-05,board-2025-05-21,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-06,foundation,2025-06,board-2025-06-18,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-07,foundation,2025-07,board-2025-07-16,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-08,foundation,2025-08,board-2025-08-20,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-09,foundation,2025-09,board-2025-09-24,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-10,foundation,2025-10,board-2025-10-15,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-11,foundation,2025-11,board-2025-11-19,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
foundation-2025-12,foundation,2025-12,board-2025-12-17,"Approved public minute file retrieved; publication upper bound from public SVN revision, not inferred from meeting date. Private deliberations remain outside the public record.",board,unknown,unknown,approved_minutes
httpd-2023-01,httpd,2023-01,index-httpd-2023-01;mailbox-httpd-2023-01,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-02,httpd,2023-02,index-httpd-2023-02;mailbox-httpd-2023-02,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-03,httpd,2023-03,index-httpd-2023-03;mailbox-httpd-2023-03,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-04,httpd,2023-04,index-httpd-2023-04;mailbox-httpd-2023-04,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-05,httpd,2023-05,index-httpd-2023-05;mailbox-httpd-2023-05,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-06,httpd,2023-06,index-httpd-2023-06;mailbox-httpd-2023-06,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-07,httpd,2023-07,index-httpd-2023-07;mailbox-httpd-2023-07,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-08,httpd,2023-08,index-httpd-2023-08;mailbox-httpd-2023-08,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-09,httpd,2023-09,index-httpd-2023-09;mailbox-httpd-2023-09,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-10,httpd,2023-10,index-httpd-2023-10;mailbox-httpd-2023-10,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-11,httpd,2023-11,index-httpd-2023-11;mailbox-httpd-2023-11,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2023-12,httpd,2023-12,index-httpd-2023-12;mailbox-httpd-2023-12,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-01,httpd,2024-01,index-httpd-2024-01;mailbox-httpd-2024-01,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-02,httpd,2024-02,index-httpd-2024-02;mailbox-httpd-2024-02,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-03,httpd,2024-03,index-httpd-2024-03;mailbox-httpd-2024-03,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-04,httpd,2024-04,index-httpd-2024-04;mailbox-httpd-2024-04,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-05,httpd,2024-05,index-httpd-2024-05;mailbox-httpd-2024-05,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-06,httpd,2024-06,index-httpd-2024-06;mailbox-httpd-2024-06,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-07,httpd,2024-07,index-httpd-2024-07;mailbox-httpd-2024-07,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-08,httpd,2024-08,index-httpd-2024-08;mailbox-httpd-2024-08,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-09,httpd,2024-09,index-httpd-2024-09;mailbox-httpd-2024-09,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-10,httpd,2024-10,index-httpd-2024-10;mailbox-httpd-2024-10,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-11,httpd,2024-11,index-httpd-2024-11;mailbox-httpd-2024-11,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2024-12,httpd,2024-12,index-httpd-2024-12;mailbox-httpd-2024-12,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-01,httpd,2025-01,index-httpd-2025-01;mailbox-httpd-2025-01,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-02,httpd,2025-02,index-httpd-2025-02;mailbox-httpd-2025-02,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-03,httpd,2025-03,index-httpd-2025-03;mailbox-httpd-2025-03,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-04,httpd,2025-04,index-httpd-2025-04;mailbox-httpd-2025-04,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-05,httpd,2025-05,index-httpd-2025-05;mailbox-httpd-2025-05,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-06,httpd,2025-06,index-httpd-2025-06;mailbox-httpd-2025-06,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-07,httpd,2025-07,index-httpd-2025-07;mailbox-httpd-2025-07,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-08,httpd,2025-08,index-httpd-2025-08;mailbox-httpd-2025-08,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
httpd-2025-09,httpd,2025-09,index-httpd-2025-09;mailbox-httpd-2025-09,Complete returned index and mailbox original Message-ID multisets match. Availability established for all indexed messages; eligibility and mechanisms not screened.,development,reviewable,retrievable,unknown
